siteId,daily_average_flow,weekly_average_flow,monthly_average_flow,daily_Before_COVID,daily_1st_Lockdown,daily_2nd_Lockdown,daily_Post_COVID
GA5601_M,2716.1693251533743,18602.33613445378,76333.72413793103,1944.8840579710145,986.8153846153846,1944.0615384615385,4201.029411764706
GA5601_N,1308.9067484662576,8964.361344537816,36784.793103448275,1875.5507246376812,456.75384615384615,724.7846153846153,1776.014705882353
GA5601_P,2593.8601226993865,17764.67226890756,72896.41379310345,3387.840579710145,1478.3538461538462,2355.1846153846154,2801.1470588235293
GB0121_B,3363.79754601227,23037.7731092437,94534.31034482758,4046.057971014493,2075.4307692307693,2907.2153846153847,3718.6323529411766
GB0121_D,1060.074846625767,7260.176470588235,29791.758620689656,1298.2898550724638,800.6307692307693,785.9692307692308,1212.0
GB0141_U,846.280981595092,5795.957983193277,23783.41379310345,910.5797101449275,559.2923076923076,678.2,1044.8529411764705
GB0141_V,1351.1754601226994,9253.848739495797,37972.68965517241,1441.6666666666667,802.7846153846153,1243.076923076923,1556.8088235294117
GB0151_C,1431.758282208589,9805.73949579832,40237.34482758621,1834.9130434782608,736.6,1104.8615384615384,1556.8970588235295
GB0151_E,1655.3092024539878,11336.781512605043,46519.89655172414,2115.753623188406,774.1538461538462,1356.5230769230768,2018.8088235294117
GB0251_S,1197.4503067484663,8201.025210084033,33652.48275862069,1252.463768115942,940.0,1206.1384615384616,1266.5
GB0251_T,1959.3926380368098,13419.36974789916,55065.68965517241,3438.9710144927535,2450.5384615384614,1525.0153846153846,1600.985294117647
GB0301_A,2848.1693251533743,19506.36974789916,80043.37931034483,3478.2028985507245,1938.4,2556.0461538461536,3032.1323529411766
GB0301_D,1046.5730061349693,7167.705882352941,29412.310344827587,1397.6811594202898,869.7076923076924,979.8923076923077,966.0588235294117
GB0351_S,2821.008588957055,19320.352941176472,79280.06896551725,3162.057971014493,1385.7076923076922,2475.1384615384613,3322.779411764706
GB0351_T,874.322699386503,5988.008403361345,24571.48275862069,842.9420289855072,634.4923076923077,923.5846153846154,936.9705882352941
GB0401_V,2163.912883435583,14820.0756302521,60813.41379310345,2082.2753623188405,1933.0307692307692,2258.5538461538463,2132.0
GB0401_X,2319.2687116564416,15884.067226890757,65179.44827586207,2565.217391304348,1949.0615384615385,2648.2153846153847,2654.8382352941176
GB0501_A,705.240490797546,4830.008403361345,19819.689655172413,721.1594202898551,631.0461538461539,724.0615384615385,676.6470588235294
GB0601_B,693.4478527607362,4749.243697478992,19488.275862068964,731.7971014492754,397.5076923076923,407.4,969.0
GB0601_C,1209.638036809816,8284.495798319327,33995.0,1524.4057971014493,722.9384615384615,897.9076923076923,1481.7794117647059
GB0601_D,1400.7447852760736,9593.33613445378,39365.75862068965,1370.0434782608695,1254.4153846153847,1456.6923076923076,1367.9117647058824
GB0651_R,1867.20245398773,12787.98319327731,52474.8275862069,2032.3623188405797,1667.1846153846154,1947.7692307692307,1826.9264705882354
GB0651_T,2314.835582822086,15853.70588235294,65054.862068965514,2009.391304347826,1521.2153846153847,2265.492307692308,3269.1911764705883
GB0651_V,986.1288343558282,6753.73949579832,27713.620689655174,1462.7536231884058,588.0307692307692,885.3230769230769,819.4411764705883
GB0701_B,245.4441717791411,1680.9831932773109,6897.827586206897,347.15942028985506,76.41538461538461,276.5692307692308,258.9264705882353
GB0701_C,1991.7349693251533,13640.873949579833,55974.620689655174,2857.9565217391305,1035.553846153846,1745.0307692307692,1689.014705882353
GB0701_D,3413.7914110429447,23380.168067226892,95939.31034482758,3729.246376811594,3279.6,3115.2153846153847,2947.1323529411766
